更新日期,2026-04-09 00:00:00,,,,,,,,,,,
区域,中心,是否签到,2026年,特殊情况,,中心总数,55,,中心总数(排除新中心）,55,,
华南一区,深圳南山南油中心,是,,,,华南一区,6,,华南一区,6,华南,18
华南一区,深圳龙岗龙城中心,是,,,,华南二区,4,,华南二区,4,华东,17
华南一区,深圳宝安中心,是,累计未发2次,,,华南三区,5,,华南三区,5,华北,17
华南一区,深圳光明中心,是,累计未发4次,,,华南四区,3,,华南四区,3,西南,3
华南一区,深圳福田中心,是,累计未发1次，迟发3次,,,华东一区,5,,华东一区,5,,
华南二区,深圳坂田杨美中心,是,,,,华东二区,3,,华东二区,3,,
华南二区,深圳龙华民治中心,是,累计迟发1次,,,华东三区,3,,华东三区,3,,
华南二区,泉州晋江中心,是,,,,华东四区,6,,华东四区,6,,
华南三区,广州盈丰中心,是,,,,华北一区,11,,华北一区,11,,
华南三区,广州岗顶中心,是,,,,华北二区,6,,华北二区,6,,
华南三区,广州白云中心,是,累计未发4次,,,华中区,0,,西南区,3,,
华南三区,佛山禅城中心,是,累计未发1次,,,西南区,3,,,,,
华南三区,广州米声中心,是,累计未发2次，迟发1次,,,,,,,,,
华南四区,广州番禺中心,是,,,,,,,,,,
华南四区,广州黄埔中心,是,,,,,,,,,,
华南四区,东莞南城中心,是,累计未发1次,,,,,,,,,
华东一区,上海李子园中心,是,,,,,,,,,,
华东一区,上海宝山中心,是,,,,,,,,,,
华东一区,上海松江中心,是,累计未发1次，迟发2次,,,,,,,,,
华东一区,上海香樟园中心,是,累计未发1次,,,,,,,,,
华东一区,苏州中心,是,累计未发1次,,,,,,,,,
华东二区,上海浦东中心,是,累计迟发1次,,,,,,,,,
华东二区,无锡中心,是,,,,,,,,,,
华东二区,常州中心,是,累计未发1次,,,,,,,,,
华东三区,南京新街口中心,是,累计未发5次，迟发1次,,,,,,,,,
华东三区,南京软件谷中心,是,累计未发1次，迟发3次,,,,,,,,,
华东三区,南京浦口中心,是,累计未发1次,,,,,,,,,
华东四区,杭州花园岗中心,是,累计迟发2次,,,,,,,,,
华东四区,杭州上城中心,是,累计未发3次，迟发3次,,,,,,,,,
华东四区,杭州滨江中心,是,累计未发3次，迟发2次,请病假4天,,,,,,,,
华东四区,宁波鄞州中心,是,累计未发2次，迟发1次,,,,,,,,,
华东四区,合肥蜀山中心,是,累计未发2次，迟发5次,,,,,,,,,
华北一区,北京双桥中心,是,累计未发2次，迟发1次,,,,,,,,,
华北一区,北京方庄中心,是,累计未发1次，迟发2次,,,,,,,,,
华北一区,郑州金水中心,是,累计未发1次,,,,,,,,,
华北一区,郑州二七中心,是,累计未发3次,,,,,,,,,
华北一区,天津中心,是,,,,,,,,,,
华北一区,西安莲湖中心,是,累计未发1次,,,,,,,,,
华北一区,西安曲江中心,是,,,,,,,,,,
华北一区,西安未央中心,是,累计未发1次,,,,,,,,,
华北一区,济南省体中心,是,,,,,,,,,,
华北一区,北京通州中心,是,,,,,,,,,,
华北一区,北京房山中心,是,累计迟发2次,,,,,,,,,
华北二区,北京望京中心,是,累计迟发1次,,,,,,,,,
华北二区,北京海淀中心,是,累计迟发2次,,,,,,,,,
华北二区,北京万柳中心,是,累计未发1次,,,,,,,,,
华北二区,石家庄桥西中心,是,累计迟发1次,,,,,,,,,
西南区,成都高新中心,是,累计未发1次,,,,,,,,,
西南区,成都武侯中心,是,累计未发1次,,,,,,,,,
西南区,重庆渝北中心,是,累计未发1次，迟发2次,,,,,,,,,
华南二区,厦门思明中心,是,累计迟发1次,,,,,,,,,
华南一区,深圳罗湖中心,是,累计未发1次,,,,,,,,,
华东四区,宁波江北中心,是,累计未发1次,,,,,,,,,
华北二区,北京昌平中心,是,累计未发1次,,,,,,,,,
华北二区,石家庄裕华中心,是,,,,,,,,,,
