,区域,中心,是否提交日报,2023年,2024年,2025年,中心总数,36
1,一区,深圳杨美中心,是,累计未发1次，迟发1次,累计未发1次，迟发7次,累计未发1次,一区,7
2,一区,深圳宝安中心,是,累计未发1次，迟发1次,,,二区,6
3,一区,深圳福田中心,是,迟发1次,累计未发2次,,三区,8
4,一区,深圳龙城中心,是,迟发1次,(换主任前)未发1次；累计未发5次，迟发9次,累计未发1次,四区,8
5,一区,深圳民治中心,是,,累计未发5次，迟发2次,,五区,4
6,一区,深圳蛇口中心,,未发1次,,,六区,3
7,一区,深圳云里中心,是,未发1次,累计未发7次,,,
8,一区,深圳南油中心,是,,累计未发5次，迟发6次,,,
1,二区,东莞南城中心,是,,累计未发1次,,,
2,二区,佛山禅城中心,是,累计未发2次,（换主任前）未发2次，迟发1次；累计未发8次，迟发1次,,,
3,二区,广州番禺中心,是,,迟发1次,,,
4,二区,广州岗顶中心,是,,累计未发1次;(换主任前)未发1次，迟发1次;（换主任前）未发6次，迟发6次,累计未发1次,,
5,二区,广州黄埔中心,是,,,,,
6,二区,广州盈丰中心,是,,累计未发1次; (换主任前)累计未发3次，迟发3次,累计未发1次，迟发2次,,
1,三区,上海李子园中心,是,,(换主任前)累计未发5次，迟发12次；累计未发2次,,,
2,三区,上海浦东中心,是,累计未发3次，迟发2次,累计未发6次，迟发2次,累计未发2次,,
3,三区,南京软件谷中心,是,未发1次,累计未发1次，迟发3次,累计迟发1次,,
4,三区,上海香樟园中心,是,,累计未发1次,,,
5,三区,南京新街口中心,是,累计迟发1次,累计未发1次,,,
6,三区,上海宝山中心,是,累计未发1次，迟发5次,累计未发3次,,,
7,三区,苏州中心,是,累计未发3次，迟发1次,累计未发10次,,,
8,三区,无锡中心,是,,累计未发5次,累计未发1次,,
1,四区,成都高新中心,是,,累计未发6次，迟发3次,累计未发1次,,
2,四区,成都武侯中心,是,累计迟发1次,累计未发3次,,,
3,四区,北京方庄中心,是,,累计未发2次,,,
4,四区,北京海淀中心,是,累计未发1次,(换主任前)未发2次，累计未发2次,,,
5,四区,北京双桥中心,是,累计迟发1次,累计未发6次，迟发2次,,,
6,四区,北京望京中心,是,,累计未发4次，迟发1次,累计未发1次,,
7,四区,郑州二七中心,是,累计未发1次，迟发2次,累计未发1次，迟发1次,累计迟发1次,,
8,四区,郑州金水中心,是,未发1次，迟发1次,累计未发3次，迟发2次,,,
1,五区,武汉汉阳中心,是,,累计迟发1次;（换主任前）累计未发22次，迟发14次,累计迟发1次,,
2,五区,武汉香港路中心,是,,累计迟发3次,累计迟发1次,,
3,五区,长沙汇金中心,是,累计未发1次，迟发1次,累计未发7次，迟发3次,,,
4,五区,南昌红谷滩中心,是,,累计未发2次,累计未发1次,,
1,六区,杭州花园岗中心,是,累计未发1次，迟发1次,累计未发5次，迟发4次；(换主任1前)迟发3次，未发1次；(换主任2前)累计未发2次，迟发1次,,,
2,六区,宁波中心,是,未发1次,累计未发1次；(换主任前)累计未发2次，累计迟发5次,累计迟发1次,,
3,六区,杭州滨江中心,是,,累计未发2次，迟发3次,累计未发1次,,
