2025未填写月报次数,,,,,,,,,,,,,,,,,,,,,
区域,中心,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,总计,,,,中心总数,,,
华南一区,深圳南山南油中心,,,,,,,,,,,,,,,,,华南一区,,华南分公司,
华南一区,深圳龙岗龙城中心,,,,,,,,,,,,,,,,,华南二区,,,
华南一区,深圳宝安中心,,,,,,,,,,,,,,,,,华南三区,,华南三区,
华南一区,深圳光明中心,,,,,,,,,,,,,,,,,华南四区,,华南四区,
华南二区,深圳坂田杨美中心,,1,,,,,,,,,,,,,,,华东一区,,华东分公司,
华南二区,深圳龙华民治中心,,,,,,,,,,,,,,,,,华东二区,,,
华南二区,厦门思明中心,,,,,,,,,,,,,,,,,华东三区,,,
华南二区,泉州晋江中心,,1,,,,,,,,,,,,,,,华东四区,,华东四区,
华南三区,广州盈丰中心,,,,,,,,,,,,,,,,,华北一区,,华北分公司,
华南三区,广州岗顶中心,,,,,,,,,,,,,,,,,华北二区,,,
华南三区,广州白云中心,,,,,,,,,,,,,,,,,华中区,,,
华南三区,佛山禅城中心,,,,,,,,,,,,,,,,,西南区,,西南区,
华南三区,佛山顺德大良中心,,,,,,,,,,,,,,,,,,,,
华南四区,广州番禺中心,,,,,,,,,,,,,,,,,,,,
华南四区,广州黄埔中心,,,,,,,,,,,,,,,,,,,,
华南四区,东莞南城中心,,,,,,,,,,,,,,,,,,,,
华东一区,上海李子园中心,,,,,,,,,,,,,,,,,,,,
华东一区,上海宝山中心,,,,,,,,,,,,,,,,,,,,
华东一区,上海松江中心,,,,,,,,,,,,,,,,,,,,
华东一区,上海香樟园中心,,,,,,,,,,,,,,,,,,,,
华东一区,苏州中心,,,,,,,,,,,,,,,,,,,,
华东二区,上海浦东中心,,,,,,,,,,,,,,,,,,,,
华东二区,无锡中心,,,,,,,,,,,,,,,,,,,,
华东二区,常州中心,,,,,,,,,,,,,,,,,,,,
华东三区,南京新街口中心,,,,,,,,,,,,,,,,,,,,
华东三区,南京软件谷中心,,1,,,,,,,,,,,,,,,,,,
华东四区,杭州花园岗中心,,,,,,,,,,,,,,,,,,,,
华东四区,杭州滨江中心,,,,,,,,,,,,,,,,,,,,
华东四区,杭州上城中心,,,,,,,,,,,,,,,,,,,,
华东四区,宁波中心,,,,,,,,,,,,,,,,,,,,
华东四区,合肥蜀山中心,,,,,,,,,,,,,,,,,,,,
华东四区,合肥包河中心,,,,,,,,,,,,,,,,,,,,
华北一区,北京双桥中心,,1,,,,,,,,,,,,,,,,,,
华北一区,北京方庄中心,,,,,,,,,,,,,,,,,,,,
华北一区,郑州金水中心,,,,,,,,,,,,,,,,,,,,
华北一区,郑州二七中心,,,,,,,,,,,,,,,,,,,,
华北一区,天津中心,,,,,,,,,,,,,,,,,,,,
华北一区,西安莲湖中心,,1,,,,,,,,,,,,,,,,,,
华北一区,济南省体中心,,1,1,,,,,,,,,,,,,,,,,
华北一区,北京通州中心,,,,,,,,,,,,,,,,,,,,
华北二区,北京望京中心,,,,,,,,,,,,,,,,,,,,
华北二区,北京海淀中心,,,,,,,,,,,,,,,,,,,,
华北二区,北京万柳中心,,,,,,,,,,,,,,,,,,,,
华北二区,石家庄中心,,,,,,,,,,,,,,,,,,,,
西南区,成都高新中心,1,,1,,,,,,,,,,,,,,,,,
西南区,成都武侯中心,1,,1,,,,,,,,,,,,,,,,,
西南区,重庆渝北中心,,,,,,,,,,,,,,,,,,,,
华南一区,深圳福田中心,1,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
